Subclass,contrast,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction,p_adj_BH_global
SHexCer,F 4s2M - M 4s2M,-0.04323146525722004,0.17900008978709442,15,-0.241516444537208,0.9415380883063368,0.8124253547560814,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
SM,(F 4s2-) - (M 4s2-),-0.18266449715827743,0.1954095846633653,15,-0.9347775723128218,0.8708875475627241,0.3647084640191688,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
SM,(F 4s2-) - F 4s2M,-0.05451263429476086,0.1575442438044018,15,-0.34601476371577705,0.8708875475627241,0.7341370176327904,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
SM,(F 4s2-) - M 4s2M,-0.144436974474648,0.19540958466336528,15,-0.739149897501044,0.8708875475627241,0.4712253029691097,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
SM,(M 4s2-) - F 4s2M,0.12815186286351657,0.20023523932421175,15,0.6400065407868538,0.8708875475627241,0.5318231311196904,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9916131744224951
SM,(M 4s2-) - M 4s2M,0.03822752268362942,0.23121173865016562,15,0.1653355617098208,0.8708875475627241,0.8708875475627241,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
SM,F 4s2M - M 4s2M,-0.08992434017988715,0.20023523932421178,15,-0.4490934786672877,0.8708875475627241,0.6597846382167776,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
Sph,(F 4s2-) - (M 4s2-),-0.13806045333067862,0.33869839511094035,15,-0.4076206304002623,0.8271726028363239,0.6893105023636033,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
Sph,(F 4s2-) - F 4s2M,-0.11503391129299573,0.2730673760319462,15,-0.4212656706363117,0.8271726028363239,0.6795354118009433,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
Sph,(F 4s2-) - M 4s2M,0.17782744397112743,0.3386983951109403,15,0.5250318470298043,0.8271726028363239,0.6072347941577596,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
Sph,(M 4s2-) - F 4s2M,0.02302654203768288,0.3470625779211336,15,0.0663469457744748,0.947977842178986,0.947977842178986,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9916131744224951
Sph,(M 4s2-) - M 4s2M,0.31588789730180605,0.40075334557682396,15,0.7882352094831127,0.8271726028363239,0.44283858726773895,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
