Lipids,contrast,Sex,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
LPC(O-18:0),(4s2-) - 4s2M,M,0.17583130566766708,0.6529511191348762,15,0.2692870882902134,0.7913777169539354,0.7913777169539354,(4s2-),4s2M,BH,(4s2-) > 4s2M
Hex2Cer(d18:1/24:1),(4s2-) - 4s2M,F,-0.22525731931764126,0.2914493996320395,15,-0.7728865442921927,0.45159738748510403,0.45159738748510403,(4s2-),4s2M,BH,4s2M > (4s2-)
Hex2Cer(d18:1/24:1),(4s2-) - 4s2M,M,-0.2726191564051531,0.42773078082836297,15,-0.637361556905459,0.5334977218144232,0.5334977218144232,(4s2-),4s2M,BH,4s2M > (4s2-)
Cer(d18:2/24:0),(4s2-) - 4s2M,F,0.09705276992856843,0.3467015265956251,15,0.27993176402065806,0.7833532804350761,0.7833532804350761,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(d18:2/24:0),(4s2-) - 4s2M,M,-0.1954523842443302,0.5088187344779485,15,-0.3841296929541435,0.7062729229924136,0.7062729229924136,(4s2-),4s2M,BH,4s2M > (4s2-)
Cer(m18:1/22:0),(4s2-) - 4s2M,F,0.15604690467214,0.29529750725412196,15,0.5284396272869716,0.604925381350078,0.604925381350078,(4s2-),4s2M,BH,(4s2-) > 4s2M
Cer(m18:1/22:0),(4s2-) - 4s2M,M,0.19020804000758024,0.4333782588467873,15,0.43889612855458143,0.6669928924021775,0.6669928924021775,(4s2-),4s2M,BH,(4s2-) > 4s2M
PE(P-16:0/18:2),(4s2-) - 4s2M,F,-0.7373110548615248,0.7454864147423801,15,-0.9890335226515423,0.3383333529549568,0.3383333529549568,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(P-16:0/18:2),(4s2-) - 4s2M,M,0.35288787119038634,1.0940749463792736,15,0.3225445133884399,0.7514922069000555,0.7514922069000555,(4s2-),4s2M,BH,(4s2-) > 4s2M
LPE(P-16:0),(4s2-) - 4s2M,F,0.08738342154421423,0.28505137892837934,15,0.3065532321672079,0.7633976142181926,0.7633976142181926,(4s2-),4s2M,BH,(4s2-) > 4s2M
LPE(P-16:0),(4s2-) - 4s2M,M,0.287532232457106,0.41834105350421125,15,0.6873153615898029,0.5023734745516673,0.5023734745516673,(4s2-),4s2M,BH,(4s2-) > 4s2M
SM(44:1),(4s2-) - 4s2M,F,-0.25779758235108796,0.7526742152663073,15,-0.3425088532624641,0.7367202560326267,0.7367202560326267,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(44:1),(4s2-) - 4s2M,M,-1.2331397705423703,1.1046237535973342,15,-1.116343702121658,0.28183919648323896,0.28183919648323896,(4s2-),4s2M,BH,4s2M > (4s2-)
TG(51:0),(4s2-) - 4s2M,F,0.15169076138885024,0.24913986931102095,15,0.6088578347911177,0.551728829141979,0.551728829141979,(4s2-),4s2M,BH,(4s2-) > 4s2M
