"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gna12",3261.65255923574,0.194929473097179,0.0609161255898674,3.19996505374602,0.00137444251505256,0.162168560940977
"Raver1",782.977197475222,-0.251076799956332,0.079450409844736,-3.1601699783172,0.00157677121155976,0.162168560940977
"Cacna1d",858.766376292115,-0.231188581193998,0.0722157568765754,-3.2013592489119,0.00136780881398852,0.162168560940977
"Aldoc",40190.394796067,0.241181842282069,0.076399938465443,3.15683293895792,0.00159492694410568,0.162168560940977
"Ube2o",2594.95799554722,-0.371061441276199,0.117432797010353,-3.15977691686495,0.00157889979898089,0.162168560940977
"Pfkp",4278.73882676299,-0.315673474357923,0.0997437481350424,-3.16484471719005,0.00155165737214264,0.162168560940977
"Cxcl14",4628.72007760811,0.273636868485021,0.0855361021888332,3.19908040561549,0.00137866712135245,0.162168560940977
"Trio",3050.51155153277,-0.335949217562721,0.106352347040345,-3.15883219234718,0.00158402669143586,0.162168560940977
"Birc6",1691.85983159057,-0.266494146224494,0.0840184247447761,-3.17185363846117,0.00151469324242327,0.162168560940977
"Acadl",1403.24367297119,0.222147511116059,0.0696865628766286,3.18780984376205,0.00143354777572693,0.162168560940977
"Col19a1",162.788336618563,-0.675452378950373,0.211312144486656,-3.19646738994231,0.00139121551404444,0.162168560940977
"Sfpq",2627.87168125565,-0.251451871464219,0.0794499913914138,-3.1649074727451,0.00155132275377532,0.162168560940977
"Dhx37",345.341994701732,-0.283432097697282,0.0891745404777427,-3.17839706466471,0.00148091791624395,0.162168560940977
"Nup210",473.890634060865,-0.315456166129839,0.0992407201339898,-3.17869686660804,0.00147938717767642,0.162168560940977
"Ttyh1",17742.5924132818,0.255087174095174,0.0797470329744386,3.19870425996836,0.00138046701765073,0.162168560940977
"Rbbp6",1314.9949868997,-0.193220874303857,0.0606520523282063,-3.185726894422,0.00144390831308104,0.162168560940977
"Pon2",2666.57385801631,0.306446535578531,0.0963906550676082,3.17921416099506,0.00147674938675167,0.162168560940977
"Cntrob",222.371644475565,-0.394166579489893,0.123663962500358,-3.18740052898396,0.00143557827109669,0.162168560940977
"Atm",289.406579724172,-0.317735050796573,0.0997124764323078,-3.18651248233991,0.00143999273911416,0.162168560940977
"Cnot3",714.374685751717,-0.316124294160665,0.0998004408444258,-3.16756410578843,0.00153721814522439,0.162168560940977
"Dnajb5",1432.81607301554,-0.284172600859259,0.089425287991106,-3.17776556545753,0.001484147021416,0.162168560940977
"Exoc1",790.855238545211,-0.259990022271814,0.0820066219759677,-3.17035400321702,0.00152253322774098,0.162168560940977
"Nphp4",304.537937342231,-0.315297998273314,0.0998491431751222,-3.15774365454817,0.0015899530407451,0.162168560940977
"Preb",1364.46991818212,-0.145415958327124,0.0454881770523357,-3.19678579688559,0.00138968082442548,0.162168560940977
"Zfp358",911.566332083566,0.248800889232967,0.0784538280628048,3.17130336882726,0.00151756568304957,0.162168560940977
"Suclg2",884.69465004545,0.25998305902846,0.082394484651331,3.15534541090501,0.00160308194242362,0.162168560940977
"Qki",9456.46416333856,0.194667554919236,0.0615751790797633,3.1614614497031,0.00156979595758087,0.162168560940977
"Acsf2",744.652897244291,0.303165612680159,0.0955397566717489,3.17318803439873,0.00150774840144735,0.162168560940977
